ID,Titulo,Tipo,Componente,Severidad,Prioridad,Estado,Detectado_en,Evidencia_Prueba,Requisito_Trazabilidad,Fecha_deteccion,Fecha_cierre
DEF-01,Placa invalida o sin normalizar aceptada,Funcional,tariffCalculator.normalizePlate,Media,P2,Cerrado,Diseno/Pruebas unitarias,TC-01 TC-02 (tariffCalculator.test.js),Normalizar y validar placa,2026-06-08,2026-06-09
DEF-02,Registro duplicado de placa con tiquete abierto,Funcional,parkingLot.registerEntry,Alta,P1,Cerrado,Diseno/Pruebas unitarias,TC-08 (parkingLot.test.js),Impedir tiquetes duplicados por placa,2026-06-08,2026-06-09
DEF-03,Sobrecupo por tipo de vehiculo,Funcional,parkingLot.hasAvailability,Alta,P1,Cerrado,Diseno/Pruebas unitarias,TC-09 (parkingLot.test.js),Controlar cupos por tipo de vehiculo,2026-06-08,2026-06-09
DEF-04,Fechas invalidas o salida anterior a la entrada,Funcional,tariffCalculator.calculateParkingCharge,Media,P2,Cerrado,Pruebas unitarias,TC-05 TC-06 (tariffCalculator.test.js),Calcular tarifa por permanencia,2026-06-08,2026-06-10
DEF-05,Cuerpo JSON malformado sin manejo de error,Robustez,httpUtils.readJsonBody,Media,P2,Cerrado,Pruebas de servicio HTTP,TC-13 TC-14 TC-15 (httpUtils.test.js app.e2e.test.js),Procesar solicitudes JSON,2026-06-09,2026-06-10
DEF-06,Escritura no atomica con riesgo de corrupcion de datos,Datos,storage.jsonStore.write,Alta,P1,Cerrado,Pruebas de integracion,parkingLot.integration.test.js app.e2e.test.js,Persistencia confiable del estado,2026-06-10,2026-06-11
DEF-07,Degradacion de throughput por persistencia O(n) (reescribe todo el JSON),Rendimiento,storage.jsonStore.write,Alta,P1,Abierto,Pruebas de carga U5 (timeline Stress),results.jtl 03_timeline_latencia.png,Escalabilidad de escritura,2026-06-17,
DEF-08,Escritura serializada (cola global) limita la concurrencia,Rendimiento,server.app.updateLot,Alta,P2,Abierto,Pruebas de carga U5,04_concurrencia_vs_latencia.png statistics.json,Concurrencia de operaciones,2026-06-17,
DEF-09,Placa compuesta solo por guiones aceptada (----),Funcional/Validacion,tariffCalculator.normalizePlate,Baja,P3,Abierto,Revision de codigo / analisis de limites,Repro: normalizePlate('----') => '----',Normalizar y validar placa,2026-06-17,
DEF-10,Consecutivo de factura no se reinicia por anio fiscal,Funcional/Contable,parkingLot.closeTicket,Media,P2,Abierto,Revision de codigo / reproduccion,Repro: FE-2027-2 en vez de FE-2027-1,Generar factura en pesos colombianos,2026-06-17,
DEF-11,Historial del dashboard sin paginar (carga todo el archivo),Rendimiento,server.app.handleApi(dashboard),Media,P3,Abierto,Pruebas de carga U5 / revision,02_throughput_por_escenario.png,Consultar historial operativo,2026-06-17,
